target_id	length	eff_length	est_counts	tpm
mat_gene_0	1392	1293	87.72	71.6094
mat_gene_1	2885	2786	295.387	111.913
mat_gene_2	5396	5297	217.495	43.3401
mat_gene_3	1476	1377	16.7895	12.8698
mat_gene_4	537	438	5.72727	13.802
mat_gene_5	2675	2576	581.017	238.074
mat_gene_6	2087	1988	147.424	78.2747
mat_gene_7	1424	1325	195.528	155.762
mat_gene_8	1474	1375	0	0
mat_gene_9	1379	1280	18.7234	15.4399
mat_gene_10	2314	2215	13.1429	6.26305
mat_gene_11	1400	1301	17.0625	13.8432
mat_gene_12	1258	1159	66.5094	60.5717
mat_gene_13	886	787	14.1429	18.9685
mat_gene_14	1544	1445	41.3061	30.1728
mat_gene_15	3689	3590	98.8323	29.0586
mat_gene_16	2788	2689	54.0395	21.2124
mat_gene_17	2581	2482	65.0526	27.6651
mat_gene_18	1859	1760	89.8715	53.8988
mat_gene_19	2337	2238	426.633	201.217
mat_gene_20	991	892	92.0118	108.88
mat_gene_21	999	900	51.6522	60.5781
mat_gene_22	2235	2136	225.396	111.382
mat_gene_23	4224	4125	489.936	125.368
mat_gene_24	2250	2151	0	0
mat_gene_25	1038	939	7.14286	8.02927
mat_gene_26	1504	1405	19.5	14.6497
mat_gene_27	1218	1119	0	0
mat_gene_28	1327	1228	0	0
mat_gene_29	1691	1592	143.33	95.0308
mat_gene_30	1169	1070	10.8235	10.6771
mat_gene_31	3306	3207	0	0
mat_gene_32	3808	3709	442.639	125.969
mat_gene_33	3070	2971	95.68	33.9929
mat_gene_34	1712	1613	339.462	222.14
mat_gene_35	725	626	3.5	5.90151
mat_gene_36	1053	954	10.5	11.6174
mat_gene_37	2152	2053	26.1071	13.4227
mat_gene_38	2591	2492	336.006	142.321
mat_gene_39	899	800	0	0
mat_gene_40	3129	3030	199.811	69.6058
mat_gene_41	2082	1983	10	5.32288
mat_gene_42	388	289	0	0
mat_gene_43	1396	1297	31.8421	25.9138
mat_gene_44	4397	4298	47.3158	11.6201
mat_gene_45	2876	2777	29.1333	11.0735
mat_gene_46	3187	3088	234.003	79.9861
mat_gene_47	1346	1247	11.375	9.62841
mat_gene_48	3896	3797	77	21.4052
mat_gene_49	1647	1548	83.8209	57.1546
mat_gene_50	4250	4151	336.6	85.5916
mat_gene_51	523	424	0	0
mat_gene_52	1109	1010	61.25	64.011
mat_gene_53	963	864	3.85714	4.71218
mat_gene_54	1858	1759	0	0
mat_gene_55	1296	1197	73.6481	64.9438
mat_gene_56	1676	1577	46.8205	31.3382
mat_gene_57	2448	2349	135.556	60.9122
mat_gene_58	1240	1141	67.2542	62.2162
mat_gene_59	1025	926	12.2222	13.9319
mat_gene_60	2565	2466	0	0
mat_gene_61	2873	2774	76.0421	28.9346
mat_gene_62	3366	3267	55.1282	17.8113
mat_gene_63	959	860	26.1333	32.075
mat_gene_64	2815	2716	52.1644	20.2728
mat_gene_65	1946	1847	130.755	74.724
mat_gene_66	937	838	19.6	24.6878
mat_gene_67	1804	1705	8	4.95262
mat_gene_68	1507	1408	55.1351	41.3329
mat_gene_69	4942	4843	0	0
mat_gene_70	2054	1955	235.246	127.012
mat_gene_71	2567	2468	231.402	98.9671
mat_gene_72	1615	1516	10.6667	7.42676
mat_gene_73	986	887	8.7	10.353
mat_gene_74	2221	2122	266.017	132.323
mat_gene_75	1481	1382	18.1176	13.8377
mat_gene_76	1521	1422	55.8409	41.4498
mat_gene_77	427	328	0	0
mat_gene_78	2880	2781	105.98	40.2246
mat_gene_79	1603	1504	196.645	138.008
mat_gene_80	3308	3209	40.3333	13.2667
mat_gene_81	2223	2124	105.966	52.66
mat_gene_82	2620	2521	45.1084	18.8866
mat_gene_83	676	577	14.7931	27.0616
mat_gene_84	716	617	42.1053	72.0312
mat_gene_85	773	674	10.2222	16.0087
mat_gene_86	3436	3337	0	0
mat_gene_87	1502	1403	58	43.6355
mat_gene_88	2535	2436	221.182	95.839
mat_gene_89	3205	3106	164.571	55.9272
mat_gene_90	1274	1175	80.0183	71.8822
mat_gene_91	1964	1865	8.14286	4.60859
mat_gene_92	552	453	29.8065	69.4515
mat_gene_93	3506	3407	145.976	45.2249
mat_gene_94	752	653	11.6471	18.8266
mat_gene_95	3471	3372	9.44444	2.95637
mat_gene_96	3274	3175	0	0
mat_gene_97	1690	1591	36.1111	23.9574
mat_gene_98	2499	2400	125.163	55.047
mat_gene_99	1577	1478	0	0
mat_gene_100	1644	1545	0	0
mat_gene_101	472	373	0	0
mat_gene_102	2450	2351	221.552	99.4702
mat_gene_103	1655	1556	297	201.473
mat_gene_104	1351	1252	159	134.049
mat_gene_105	2240	2141	45.7714	22.5656
mat_gene_106	1251	1152	41.2105	37.7594
mat_gene_107	1148	1049	0	0
mat_gene_108	2399	2300	29.0952	13.3525
mat_gene_109	1679	1580	31.0488	20.7423
mat_gene_110	2648	2549	6.5	2.69162
mat_gene_111	1498	1399	20.65	15.5802
mat_gene_112	1657	1558	31.625	21.4256
mat_gene_113	1835	1736	151.374	92.0388
mat_gene_114	1800	1701	0	0
mat_gene_115	2446	2347	63.197	28.4219
mat_gene_116	1077	978	9.33333	10.0732
mat_gene_117	1882	1783	97.1077	57.4873
mat_gene_118	2427	2328	92.443	41.9141
mat_gene_119	2491	2392	0	0
mat_gene_120	1831	1732	13.8462	8.43822
mat_gene_121	1337	1238	0	0
mat_gene_122	2561	2462	64.6701	27.7259
mat_gene_123	2109	2010	73.5674	38.633
mat_gene_124	4002	3903	100	27.044
mat_gene_125	2801	2702	0	0
mat_gene_126	2798	2699	0	0
mat_gene_127	707	608	4.2	7.29148
mat_gene_128	2680	2581	38.1111	15.586
mat_gene_129	3134	3035	94.7287	32.9452
mat_gene_130	1885	1786	164.943	97.4817
mat_gene_131	1851	1752	34.04	20.5081
mat_gene_132	2045	1946	97.0182	52.6235
mat_gene_133	1227	1128	42.9268	40.1689
mat_gene_134	5833	5734	596.095	109.731
mat_gene_135	1172	1073	53.625	52.7518
mat_gene_136	1320	1221	36.5741	31.6175
mat_gene_137	2440	2341	0	0
mat_gene_138	1835	1736	186.962	113.677
mat_gene_139	795	696	23	34.881
mat_gene_140	1617	1518	170.899	118.833
mat_gene_141	530	431	0	0
mat_gene_142	3984	3885	1133.02	307.834
mat_gene_143	2791	2692	12.6	4.94044
mat_gene_144	1780	1681	0	0
mat_gene_145	594	495	26.5	56.5081
mat_gene_146	3623	3524	36	10.7829
mat_gene_147	2823	2724	92.4219	35.8127
mat_gene_148	1205	1106	25.8462	24.6667
mat_gene_149	2084	1985	1.94245	1.0329
mat_gene_150	3295	3196	141.862	46.852
mat_gene_151	2929	2830	0	0
